filename	ATTRIBUTE_SampleType	ATTRIBUTE_TypesOfPlants	ATTRIBUTE_ExerciceFrequency	ATTRIBUTE_FermentedPlantFrequency	ATTRIBUTE_Probiotic_frequence
10125_P1_RA12_01_49.mzXML	SAMPLE	21_to_30	Regularly		
10173_P4_RC5_01_447.mzXML	SAMPLE	11_to_20	Occasionally	Daily	Occasionally
10232_P4_RE4_01_476.mzXML	SAMPLE	Less_than_5	Occasionally		
10546_P4_RG11_01_515.mzXML	SAMPLE	Less_than_5	Regularly		
10710_P3_RB12_01_317.mzXML	SAMPLE	11_to_20	Regularly		
10712_P4_RH3_01_521.mzXML	SAMPLE	More_than_30	Occasionally		
10715_P4_RA4_01_415.mzXML	SAMPLE	More_than_30	Regularly	Rarely (less than once/week)	Never
10765_P4_RE9_01_482.mzXML	SAMPLE	More_than_30	Occasionally		
1086_P1_RC8_01_71.mzXML	SAMPLE	11_to_20	Regularly		
10887_P4_RE5_01_477.mzXML	SAMPLE				
1089_P4_RF4_01_492.mzXML	SAMPLE	6_to_10	Rarely		
10953_P2_RF1_01_233.mzXML	SAMPLE	6_to_10	Regularly	Rarely (less than once/week)	Rarely
11035_P4_RB4_01_431.mzXML	SAMPLE	More_than_30	Occasionally		
11111_P4_RB1_01_428.mzXML	SAMPLE	Less_than_5	Regularly		
11163_P4_RB11_01_439.mzXML	SAMPLE	Less_than_5	Occasionally		
11221_P2_RB8_01_178.mzXML	SAMPLE	21_to_30	Regularly		
11223_P4_RF12_01_501.mzXML	SAMPLE	6_to_10	Regularly		
11225_P3_RC12_01_332.mzXML	SAMPLE	21_to_30	Occasionally		
11290_P2_RC4_01_188.mzXML	SAMPLE	Less_than_5	Daily		
11337_P4_RE11_01_484.mzXML	SAMPLE	6_to_10	Daily	Occasionally	Occasionally
11935_P4_RB10_01_438.mzXML	SAMPLE	21_to_30	Daily		
12136_P4_RD10_01_468.mzXML	SAMPLE	11_to_20	Rarely		
12229_P4_RC12_01_455.mzXML	SAMPLE	21_to_30	Regularly		
12230_P4_RF9_01_498.mzXML	SAMPLE	21_to_30	Regularly		
1225_P4_RE10_01_483.mzXML	SAMPLE	11_to_20	Never		
12262_P1_RE5_01_94.mzXML	SAMPLE	Less_than_5	Daily	Never	Daily
1230_P5_RB11_01_564.mzXML	SAMPLE		Regularly	Rarely (less than once/week)	Rarely
12303_P4_RC9_01_452.mzXML	SAMPLE	6_to_10	Regularly		
12418_P4_RE7_01_480.mzXML	SAMPLE	6_to_10	Daily		
1278_P1_RC7_01_70.mzXML	SAMPLE	11_to_20	Rarely		
1291_P5_RB2_01_553.mzXML	SAMPLE	Less_than_5	Rarely		
12918_P4_RB2_01_429.mzXML	SAMPLE	21_to_30	Occasionally		
13009_P4_RD8_01_466.mzXML	SAMPLE	21_to_30	Regularly	Never	Regularly
1301_P4_RH2_01_520.mzXML	SAMPLE	6_to_10	Regularly		
13114_P4_RB3_01_430.mzXML	SAMPLE	21_to_30	Daily		
13130_P4_RC3_01_445.mzXML	SAMPLE	11_to_20	Daily		
13131_P1_RH11_01_139.mzXML	SAMPLE	21_to_30	Regularly		
13214_P4_RC8_01_451.mzXML	SAMPLE	21_to_30	Rarely		
1327_P4_RD2_01_459.mzXML	SAMPLE	6_to_10	Regularly		
13290_P4_RA9_01_422.mzXML	SAMPLE	21_to_30	Regularly		
13313_P4_RE2_01_474.mzXML	SAMPLE	6_to_10	Regularly	Rarely (less than once/week)	Rarely
13413_P5_RB1_01_552.mzXML	SAMPLE	21_to_30	Regularly		
13527_P5_RA1_01_535.mzXML	SAMPLE	11_to_20	Occasionally		
13533_P1_GA1_01_142.mzXML	SAMPLE	6_to_10	Regularly		
13539_P4_RD11_01_469.mzXML	SAMPLE		Regularly		
13541_P4_RG3_01_506.mzXML	SAMPLE	Less_than_5	Regularly		
13575_P4_RH5_01_523.mzXML	SAMPLE	21_to_30	Regularly		
13586_P4_RA8_01_421.mzXML	SAMPLE	11_to_20	Daily		
13604_P4_RF7_01_496.mzXML	SAMPLE	11_to_20	Daily		
13618_P3_RG4_01_383.mzXML	SAMPLE	21_to_30	Occasionally		
1386_P4_RA6_01_417.mzXML	SAMPLE	6_to_10	Regularly		
13864_P4_RE6_01_478.mzXML	SAMPLE	21_to_30	Regularly		
13917_P4_RA10_01_423.mzXML	SAMPLE	More_than_30	Daily	Daily	Never
14142_P2_RB3_01_172.mzXML	SAMPLE	21_to_30	Regularly	Daily	Daily
14151_P4_RH7_01_525.mzXML	SAMPLE	11_to_20	Occasionally		
14153_P4_RH8_01_526.mzXML	SAMPLE	More_than_30	Regularly		
14240_P4_RB9_01_437.mzXML	SAMPLE	21_to_30	Regularly		
14279_P2_RD3_01_202.mzXML	SAMPLE	21_to_30	Regularly		
14290_P4_RA11_01_424.mzXML	SAMPLE	21_to_30	Daily		
14356_P2_RE1_01_216.mzXML	SAMPLE	11_to_20	Regularly		
14397_P2_RD6_01_205.mzXML	SAMPLE	6_to_10	Regularly		
14399_P4_RG5_01_508.mzXML	SAMPLE	6_to_10	Occasionally		
14407_P2_RC2_01_186.mzXML	SAMPLE		Regularly	Never	Rarely
14563_P1_RE10_01_99.mzXML	SAMPLE	Less_than_5	Occasionally		
14592_P4_RA12_01_425.mzXML	SAMPLE	11_to_20	Occasionally	Rarely (less than once/week)	Never
14606_P1_RD5_01_81.mzXML	SAMPLE		Occasionally		
14648_P2_RE2_01_217.mzXML	SAMPLE		Occasionally	Occasionally	Rarely
14880_P3_RA3_01_290.mzXML	SAMPLE	More_than_30	Regularly		
1513_P2_RC10_01_195.mzXML	SAMPLE	More_than_30	Daily		
15161_P2_RF8_01_241.mzXML	SAMPLE	21_to_30	Daily		
15254_P2_RC6_01_190.mzXML	SAMPLE	6_to_10	Occasionally		
