filename	ATTRIBUTE_SampleType	ATTRIBUTE_TypesOfPlants	ATTRIBUTE_ExerciceFrequency	ATTRIBUTE_FermentedPlantFrequency	ATTRIBUTE_Probiotic_frequence
1820_P3_RB5_01_309	SAMPLE	More_than_30	Daily	Occasionally	Regularly
18404_P3_RF6_01_370	SAMPLE	More_than_30	Daily	Rarely (less than once/week)	
18412_P1_RB2_01_52	SAMPLE	21_to_30	Daily	Occasionally	Regularly
2033_P3_RC2_01_321	SAMPLE	More_than_30	Daily	Rarely (less than once/week)	Never
20515_P1_RB1_01_51	SAMPLE		Occasionally	Rarely (less than once/week)	Daily
20538_P3_RE7_01_357	SAMPLE		Rarely	Never	Occasionally
20562_P1_RA9_01_46	SAMPLE		Occasionally	Occasionally	Daily
20681_P2_RB4_01_173	SAMPLE		Occasionally	Rarely (less than once/week)	Never
20706_P2_RG3_01_252	SAMPLE		Rarely	Daily	Daily
20788_P2_RC5_01_189	SAMPLE		Regularly	Daily	Daily
2173_P4_RF10_01_499	SAMPLE	Less_than_5	Never		
21950_P1_RF11_01_113	SAMPLE		Regularly	Occasionally	Daily
22159_P1_RA5_01_42	SAMPLE		Occasionally	Rarely (less than once/week)	Never
22164_P1_RA10_01_47	SAMPLE		Daily	Daily	Daily
22431_P3_RF4_01_368	SAMPLE		Daily		
22510_P3_RG10_01_390	SAMPLE	6_to_10	Regularly	Occasionally	Rarely
22541_P3_RF5_01_369	SAMPLE		Daily	Never	Never
22591_P3_RG7_01_387	SAMPLE		Occasionally	Rarely (less than once/week)	Never
22606_P1_RH8_01_136	SAMPLE		Daily	Occasionally	Rarely
22638_P1_RH10_01_138	SAMPLE		Rarely	Daily	Rarely
22663_P1_RG9_01_124	SAMPLE		Rarely	Occasionally	Never
22676_P3_RB6_01_310	SAMPLE		Daily	Regularly	Never
22951_P1_RB12_01_62	SAMPLE		Regularly	Occasionally	Daily
22959_P2_RA3_01_157	SAMPLE		Daily	Daily	Regularly
22965_P2_RA1_01_155	SAMPLE		Regularly	Rarely (less than once/week)	Regularly
2319_P4_RE1_01_473	SAMPLE	11_to_20	Occasionally	Occasionally	Daily
23203_P1_RA7_01_44	SAMPLE		Daily	Rarely (less than once/week)	Daily
23217_P2_RE11_01_227	SAMPLE	21_to_30	Regularly	Regularly	Occasionally
23230_P2_RB5_01_174	SAMPLE		Daily	Daily	Daily
23231_P1_RA8_01_45	SAMPLE		Regularly	Occasionally	Daily
2326_P3_RA5_01_292	SAMPLE		Regularly	Daily	Never
2331_P1_RD11_01_87	SAMPLE	21_to_30	Regularly		
23840_P1_RC9_01_72	SAMPLE		Regularly	Daily	Daily
23894_P2_RC9_01_194	SAMPLE	21_to_30	Occasionally	Rarely (less than once/week)	Never
23928_P2_RF12_01_247	SAMPLE		Regularly	Rarely (less than once/week)	Never
23984_P1_RH9_01_137	SAMPLE		Occasionally	Never	Never
2414_P3_RG12_01_392	SAMPLE	6_to_10	Occasionally		
2419_P4_RG2_01_505	SAMPLE	11_to_20	Regularly	Never	
2443_P4_RG12_01_516	SAMPLE	More_than_30	Daily	Occasionally	Never
2465_P4_RH4_01_522	SAMPLE	21_to_30	Daily		
26002_P1_RG8_01_123	SAMPLE		Occasionally	Regularly	Regularly
26041_P1_RG10_01_125	SAMPLE		Regularly	Rarely (less than once/week)	Never
26049_P2_RD12_01_213	SAMPLE	6_to_10	Occasionally	Never	Daily
2607_P5_RC1_01_569	SAMPLE	11_to_20	Regularly		
26076_P1_RH4_01_132	SAMPLE		Occasionally	Rarely (less than once/week)	Never
26083_P3_RA4_01_291	SAMPLE		Regularly	Rarely (less than once/week)	Never
26116_P5_RF1_01_618	SAMPLE		Rarely	Rarely (less than once/week)	
26122_P5_RD2_01_586	SAMPLE		Occasionally	Regularly	Never
26124_P1_RC5_01_68	SAMPLE		Regularly	Regularly	Never
26143_P1_RG5_01_120	SAMPLE		Daily	Never	Never
26193_P1_RG4_01_119	SAMPLE	21_to_30	Occasionally	Rarely (less than once/week)	Never
2632_P4_RC11_01_454	SAMPLE	More_than_30	Regularly	Rarely (less than once/week)	Occasionally
26521_P1_GH1_01_149	SAMPLE		Daily	Rarely (less than once/week)	Daily
26661_P3_RG6_01_385	SAMPLE		Regularly	Rarely (less than once/week)	Rarely
2712_P4_RG7_01_511	SAMPLE	6_to_10	Occasionally		
27278_P5_RE11_01_614	SAMPLE	21_to_30	Daily	Regularly	Occasionally
27373_P2_RD5_01_204	SAMPLE	More_than_30	Regularly	Rarely (less than once/week)	Never
2752_P3_RA12_01_299	SAMPLE	11_to_20	Rarely		
27623_P2_RH3_01_267	SAMPLE		Daily	Rarely (less than once/week)	Never
27643_P2_RF2_01_234	SAMPLE		Regularly	Rarely (less than once/week)	Regularly
27659_P1_RF9_01_111	SAMPLE		Regularly	Occasionally	Rarely
27670_P2_RF4_01_236	SAMPLE		Regularly	Daily	Daily
2783_P4_RF11_01_500	SAMPLE	Less_than_5	Regularly		
27840_P1_RG3_01_118	SAMPLE	6_to_10	Occasionally	Occasionally	Rarely
27899_P3_RG1_01_380	SAMPLE		Daily	Daily	Rarely
28089_P3_RD2_01_336	SAMPLE		Regularly	Occasionally	Rarely
28118_P2_RB2_01_171	SAMPLE		Rarely	Occasionally	Rarely
28169_P2_RH1_01_265	SAMPLE		Regularly	Daily	Daily
28187_P3_RC6_01_325	SAMPLE		Occasionally	Never	Never
28208_P1_RB4_01_54	SAMPLE		Regularly	Regularly	Never
28278_P3_RE6_01_355	SAMPLE		Regularly	Never	Occasionally
28463_P3_RB1_01_305	SAMPLE		Occasionally	Daily	Occasionally
28534_P6_RC3_01_682	SAMPLE	11_to_20	Regularly	Rarely (less than once/week)	Daily
2865_P5_RG1_01_634	SAMPLE	6_to_10	Regularly		
28663_P2_RH2_01_266	SAMPLE		Regularly	Never	Never
2869_P4_RG9_01_513	SAMPLE	Less_than_5	Daily		
28719_P3_RC3_01_322	SAMPLE		Rarely	Rarely (less than once/week)	Rarely
28742_P6_RH3_01_700	SAMPLE	6_to_10	Regularly	Never	Never
28744_P3_RE3_01_352	SAMPLE		Daily	Occasionally	Occasionally
28841_P3_RH5_01_399	SAMPLE		Daily	Daily	Daily
29161_P3_RD5_01_339	SAMPLE		Regularly	Rarely (less than once/week)	Regularly
29164_P3_RD6_01_340	SAMPLE		Rarely	Rarely (less than once/week)	Occasionally
29298_P3_RA6_01_293	SAMPLE				Never
29312_P2_RH4_01_268	SAMPLE		Daily	Occasionally	Never
29313_P3_RH3_01_397	SAMPLE		Regularly		Occasionally
29322_P2_RC1_01_185	SAMPLE		Occasionally	Never	Rarely
29342_P5_RF3_01_620	SAMPLE	More_than_30	Regularly	Rarely (less than once/week)	Rarely
29343_P1_RC1_01_64	SAMPLE	11_to_20	Daily	Rarely (less than once/week)	Daily
29396_P3_RG3_01_382	SAMPLE		Occasionally	Rarely (less than once/week)	Rarely
29407_P3_RG5_01_384	SAMPLE		Occasionally	Never	Regularly
29432_P1_RC10_01_73	SAMPLE		Regularly	Daily	Regularly
29452_P3_RH4_01_398	SAMPLE		Daily	Daily	Rarely
29455_P2_RG4_01_253	SAMPLE		Regularly	Never	Regularly
29477_P2_RG1_01_250	SAMPLE		Rarely	Rarely (less than once/week)	Occasionally
29485_P3_RA7_01_294	SAMPLE		Regularly	Regularly	Regularly
29504_P3_RH2_01_396	SAMPLE		Rarely	Regularly	Never
29535_P2_RA4_01_158	SAMPLE		Daily	Regularly	Rarely
29998_P3_RF8_01_373	SAMPLE		Occasionally		Daily
3001_P1_RB5_01_55	SAMPLE	11_to_20	Daily	Occasionally	Regularly
30082_P1_RC2_01_65	SAMPLE		Rarely	Never	Never
30146_P3_RA1_01_287	SAMPLE		Regularly	Rarely (less than once/week)	Never
30233_P3_RC5_01_324	SAMPLE		Occasionally	Never	Never
30310_P3_RH7_01_401	SAMPLE		Occasionally	Rarely (less than once/week)	Daily
30342_P1_GF1_01_147	SAMPLE		Occasionally	Never	Rarely
30362_P1_RH2_01_130	SAMPLE		Rarely	Rarely (less than once/week)	Rarely
30370_P2_RE3_01_218	SAMPLE		Occasionally	Occasionally	Regularly
30483_P1_GD1_01_145	SAMPLE	6_to_10	Occasionally	Never	Never
30484_P3_RE9_01_359	SAMPLE	21_to_30	Rarely	Rarely (less than once/week)	Never
30548_P5_RG11_01_646	SAMPLE	6_to_10	Never	Never	Never
30736_P5_RG2_01_635	SAMPLE		Regularly	Regularly	
30742_P5_RH1_01_650	SAMPLE		Occasionally	Never	Regularly
30763_P5_RA5_01_539	SAMPLE		Occasionally		Never
30774_P5_RA3_01_537	SAMPLE		Never	Never	Never
30974_P3_RD11_01_346	SAMPLE	11_to_20	Regularly	Regularly	Daily
30993_P3_RF3_01_367	SAMPLE		Regularly	Occasionally	Never
31006_P3_RE4_01_353	SAMPLE		Regularly	Rarely (less than once/week)	Never
31085_P3_RC4_01_323	SAMPLE		Regularly	Regularly	Never
31265_P2_RD1_01_200	SAMPLE	21_to_30	Occasionally	Rarely (less than once/week)	Occasionally
31295_P3_RE1_01_350	SAMPLE		Occasionally	Rarely (less than once/week)	Never
31463_P3_RE8_01_358	SAMPLE		Regularly	Daily	Occasionally
31479_P3_RD3_01_337	SAMPLE		Daily	Daily	Daily
31488_P5_RD4_01_588	SAMPLE	Less_than_5	Daily	Never	Never
31493_P3_RD7_01_342	SAMPLE	Less_than_5	Daily	Rarely (less than once/week)	Never
31501_P1_RH6_01_134	SAMPLE		Regularly	Occasionally	Daily
31515_P3_RB4_01_308	SAMPLE		Daily	Occasionally	Regularly
31790_P3_RE5_01_354	SAMPLE		Regularly	Occasionally	Regularly
31878_P1_RH3_01_131	SAMPLE	More_than_30	Occasionally		
31891_P3_RF7_01_372	SAMPLE	6_to_10	Regularly	Rarely (less than once/week)	Daily
31892_P3_RC7_01_327	SAMPLE	21_to_30	Regularly	Never	Daily
31904_P5_RE3_01_604	SAMPLE		Regularly	Rarely (less than once/week)	Rarely
32629_P1_RD12_01_88	SAMPLE	21_to_30	Daily	Never	Rarely
32652_P1_GC1_01_144	SAMPLE	6_to_10	Occasionally	Never	Rarely
3266_P2_RE6_01_221	SAMPLE	21_to_30	Regularly		
32665_P1_RB9_01_59	SAMPLE	11_to_20	Occasionally	Rarely (less than once/week)	Rarely
32676_P5_RD3_01_587	SAMPLE	21_to_30	Regularly	Rarely (less than once/week)	Never
32737_P1_RC3_01_66	SAMPLE	More_than_30	Occasionally	Never	Rarely
32741_P5_RC12_01_662	SAMPLE	11_to_20	Occasionally	Never	Never
32748_P5_RE10_01_613	SAMPLE	21_to_30	Never	Rarely (less than once/week)	Rarely
32753_P5_RC10_01_580	SAMPLE	21_to_30	Regularly	Regularly	Rarely
32754_P5_RE6_01_607	SAMPLE	More_than_30	Regularly	Never	Regularly
32760_P6_RA1_01_673	SAMPLE	21_to_30	Rarely	Never	Rarely
32764_P3_RF12_01_377	SAMPLE	More_than_30	Regularly	Daily	Daily
3277_P4_RG10_01_514	SAMPLE	6_to_10	Daily		
32796_P1_RE11_01_100	SAMPLE	11_to_20	Daily	Rarely (less than once/week)	Daily
3280_P2_RE10_01_226	SAMPLE	6_to_10	Daily		
32848_P3_RD1_01_335	SAMPLE	11_to_20	Regularly	Rarely (less than once/week)	Rarely
32872_P2_RH11_01_276	SAMPLE	More_than_30	Occasionally	Rarely (less than once/week)	Daily
32878_P5_RG10_01_645	SAMPLE	11_to_20	Rarely	Never	Rarely
32907_P5_RH2_01_651	SAMPLE	11_to_20	Rarely	Never	Never
32921_P1_RB7_01_57	SAMPLE	21_to_30	Regularly	Occasionally	Daily
32955_P3_RC11_01_331	SAMPLE		Regularly	Rarely (less than once/week)	Regularly
32963_P2_RH9_01_274	SAMPLE		Occasionally	Never	Never
33027_P2_RD7_01_208	SAMPLE	21_to_30	Daily	Regularly	Daily
33134_P5_RG9_01_644	SAMPLE	11_to_20	Daily	Rarely (less than once/week)	Rarely
3317_P1_RB10_01_60	SAMPLE	6_to_10	Daily		
33382_P6_RE3_01_690	SAMPLE	11_to_20	Daily	Never	Never
33428_P6_RB2_01_678	SAMPLE	More_than_30	Daily	Never	Rarely
33459_P3_RA10_01_297	SAMPLE	11_to_20	Daily	Rarely (less than once/week)	Occasionally
33472_P1_RD9_01_85	SAMPLE	21_to_30	Rarely	Never	Daily
33473_P1_RG2_01_117	SAMPLE	More_than_30	Regularly	Rarely (less than once/week)	Daily
33475_P5_RF11_01_630	SAMPLE	21_to_30	Regularly	Rarely (less than once/week)	Daily
33482_P5_RF9_01_628	SAMPLE	21_to_30	Regularly	Rarely (less than once/week)	Never
33510_P5_RB9_01_562	SAMPLE	21_to_30	Regularly	Rarely (less than once/week)	Never
33548_P1_RF8_01_110	SAMPLE	More_than_30	Regularly	Occasionally	Daily
33561_P6_RE2_01_689	SAMPLE	11_to_20	Regularly	Rarely (less than once/week)	Never
33564_P1_RD1_01_77	SAMPLE	More_than_30	Occasionally	Rarely (less than once/week)	Regularly
33590_P5_RD12_01_599	SAMPLE	More_than_30	Occasionally	Never	Never
33591_P5_RF10_01_629	SAMPLE	More_than_30	Occasionally	Never	Never
33729_P3_RB8_01_313	SAMPLE	21_to_30	Daily	Rarely (less than once/week)	Regularly
33748_P1_GG1_01_148	SAMPLE	11_to_20	Regularly	Rarely (less than once/week)	Regularly
33797_P5_RB4_01_555	SAMPLE		Occasionally	Never	Occasionally
33799_P5_RE2_01_603	SAMPLE		Regularly	Rarely (less than once/week)	Regularly
34123_P5_RC3_01_571	SAMPLE		Daily	Never	Regularly
35272_P6_RB3_01_679	SAMPLE	11_to_20	Regularly	Rarely (less than once/week)	Regularly
3531_P4_RB6_01_433	SAMPLE	21_to_30	Occasionally	Daily	Never
35348_P3_RE12_01_362	SAMPLE		Regularly	Rarely (less than once/week)	Daily
35361_P5_RA2_01_536	SAMPLE		Regularly	Rarely (less than once/week)	Rarely
35416_P5_RG7_01_642	SAMPLE		Occasionally	Never	Never
35478_P3_RD12_01_347	SAMPLE	More_than_30	Daily	Regularly	Daily
35484_P1_RE8_01_97	SAMPLE		Regularly	Regularly	Rarely
3559_P4_RF2_01_490	SAMPLE	11_to_20	Regularly		
3580_P4_RE12_01_485	SAMPLE	6_to_10	Rarely		
36135_P3_RB10_01_315	SAMPLE		Regularly	Occasionally	Rarely
36157_P5_RA7_01_543	SAMPLE		Occasionally	Never	Rarely
36865_P5_RC11_01_581	SAMPLE		Occasionally	Regularly	Regularly
36876_P5_RB8_01_561	SAMPLE		Regularly	Daily	Daily
36963_P5_RA11_01_547	SAMPLE		Occasionally	Occasionally	Daily
37486_P5_RD6_01_593	SAMPLE		Regularly	Regularly	Regularly
37491_P3_RG9_01_389	SAMPLE		Rarely	Regularly	Daily
37514_P5_RC2_01_570	SAMPLE		Regularly	Regularly	Regularly
37534_P3_RF2_01_366	SAMPLE	More_than_30	Regularly	Rarely (less than once/week)	Never
37542_P6_RD1_01_685	SAMPLE	11_to_20	Occasionally	Rarely (less than once/week)	Regularly
37543_P6_RG2_01_695	SAMPLE	6_to_10	Rarely	Never	Never
